үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
350.0,"Хан-Уул, Зайсан",Паркет,2,2008.0,1,Вакум,6.0,Бүргэд,160.0,5.0,0,6.0,1
180.0,"Баянгол, 10-р хороолол",Паркет,2,2007.0,0,Вакум,3.0,Бүргэд,90.0,2.0,0,4.0,1
665.0,"Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2014.0,0,Вакум,16.0,Бүргэд,180.0,2.0,1,6.0,1
96.0,"Баянзүрх, 14-р хороолол",Паркет,0,2013.0,0,Вакум,12.0,Бүргэд,31.8,8.0,0,2.0,1
396.0,"Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Паркет,0,2015.0,1,Төмөр вакум,13.0,Бүргэд,100.0,12.0,0,7.0,1
463.07800000000003,"Хан-Уул, Зайсан",Паркет,1,2023.0,0,Төмөр вакум,10.0,Бүргэд,60.14,3.0,1,3.0,1
78.0,"Сонгинохайрхан, Сонгинохайрхан, Хороо 20",Паркет,1,1990.0,0,Вакум,5.0,Бүргэд,18.0,5.0,0,3.0,1
448.65000000000003,"Хан-Уул, Хан-Уул, Хороо 15",Паркет,1,2013.0,1,Вакум,15.0,Бүргэд,99.7,5.0,0,4.0,1
186.0,"Чингэлтэй, Чингэлтэй, Хороо 14",Паркет,1,2019.0,0,Вакум,4.0,Төмөр,66.2,5.0,1,4.0,1
145.0,"Сонгинохайрхан, 5 шар",Паркет,1,2006.0,0,Вакум,5.0,Бүргэд,58.0,5.0,0,3.0,1
110.0,"Хан-Уул, Нисэх",Паркет,1,2013.0,0,Вакум,5.0,Бүргэд,50.0,3.0,1,3.0,1
169.17,"Баянзүрх, Натур худалдааны төв",Паркет,1,2013.0,0,Вакум,12.0,Бүргэд,56.39,2.0,1,5.0,1
669.0,"Хан-Уул, 19-р хороолол",Ламинат,1,2023.0,1,Вакум,25.0,Бүргэд,84.72,12.0,0,4.0,1
186.054,"Баянгол, Модны 2",Паркет,1,2013.0,0,Вакум,13.0,Бүргэд,56.38,2.0,1,4.0,1
278.0,"Баянзүрх, Натур худалдааны төв",Паркет,2,2014.0,0,Вакум,12.0,Бүргэд,76.0,8.0,1,3.0,1
160.0,"Чингэлтэй, 40 мянгат",Паркет,1,2011.0,0,Вакум,12.0,Бүргэд,43.7,7.0,0,2.0,1
470.8,"Хан-Уул, Яармаг",Паркет,1,2023.0,1,Вакум,15.0,Төмөр,107.0,6.0,0,4.0,1
