үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
300000000.00,"УБ — Баянгол, 3, 4 хороолол",,,,,,,,120 м² м²,,Лизинггүй,,Ашиглалтад орсон
6000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 11",,,,,,,,140 м²,,Лизинггүй,,Ашиглалтад орсон
280000000.00,"УБ — Хан-Уул, Хурд",Паркет,1 тагттай,2010,Байхгүй,Вакум,9,Бүргэд,66.6 м²,6,Лизинггүй,3,Ашиглалтад орсон
89900000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 22",Паркет,Тагтгүй,2024,Байхгүй,Төмөр вакум,16,Бүргэд,29.0 м²,1,Лизинггүй,2,Ашиглалтад орсон
240000000.00,"УБ — Хан-Уул, 19-р хороолол",Паркет,1 тагттай,2020,Байхгүй,Вакум,14,Бүргэд,65.53 м²,14,Банкны лизингтэй,2,Ашиглалтад орсон
415000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2013,Байхгүй,Вакум,6,Мод,117.18 м²,6,Лизинггүй,3,Ашиглалтад орсон
2700000.00,"УБ — Сонгинохайрхан, 21-р хороолол",Паркет,1 тагттай,2017,Байхгүй,Вакум,15,Бүргэд,47.8 м²,15,Банкны лизингтэй,2,Ашиглалтад орсон
5000000.00,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 38",,,,,,,,18 м²,,Лизинггүй,,Ашиглалтад орсон
28500000.00,"УБ — Налайх, Налайх, Хороо 4",,,,,,,,,,Лизинггүй,,
7500000.00,"УБ — Хан-Уул, Мишээл",,,,,,,,56 м²,,Банкны лизингтэй,,Ашиглалтад орсон
200000000.00,"УБ — Чингэлтэй, Зурагт",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
1773600000.00,"УБ — Хан-Уул, River Garden",Паркет,1 тагттай,2021,Байгаа,Вакум,23,Төмөр вакум,216.3 м²,5,Банкны лизингтэй,7,Ашиглалтад орсон
85000000.00,"УБ — Баянзүрх, Улаанхуаран",Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,30.0 м²,12,Банкны лизингтэй,2,Ашиглалтад орсон
380000000.00,"УБ — Хан-Уул, Яармаг",,,,,,,,700 м²,,Лизинггүй,,
350000000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 9",,,,,,,,,,Лизинггүй,,
683000000.00,"УБ — Хан-Уул, Хүннү",Паркет,2 тагттай,2014,Байгаа,Вакум,17,Бүргэд,117.83 м²,9,Лизинггүй,5,Ашиглалтад орсон
8000000.00,"УБ — Баянзүрх, Амгалан",,,,,,,,30 м² м²,,Лизинггүй,,Ашиглалтад орсон
628520000.00,"УБ — Баянзүрх, 2-р эмнэлэг",Паркет,1 тагттай,2010,Байгаа,Вакум,12,Бүргэд,165.4 м²,6,Банкны лизингтэй,6,Ашиглалтад орсон
9000000.00,УБ — Сүхбаатар,,,,,,,,50 м² м²,,Лизинггүй,,Ашиглалтад орсон
180000000.00,"Дорноговь, Дорноговь",,,,,,,,,,Банкны лизингтэй,,Ашиглалтад орсон
4000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 8",Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,43.11 м²,3,Лизинггүй,2,Ашиглалтад орсон
2000000000.00,"УБ — Хан-Уул, Зайсан",,,,,,,,,,Лизинггүй,,Ашиглалтад орсон
1430000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2016,Байхгүй,Вакум,14,Бүргэд,236.0 м²,13,Банкны лизингтэй,6,Ашиглалтад орсон
548800000.00,"УБ — Баянзүрх, Сансар",Паркет,Тагтгүй,2024,Байхгүй,Вакум,25,Бүргэд,112.0 м²,16,Банкны лизингтэй,4,Ашиглалтад ороогүй
11500000.00,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",,,,,,,,,,Банкны лизингтэй,,Ашиглалтад орсон
800000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,2 тагттай,2024,Байхгүй,Төмөр вакум,23,Төмөр,135.0 м²,20,Лизинггүй,5,Ашиглалтад орсон
5460000.00,УБ — Хан-Уул,,,,,,,,,,Банкны лизингтэй,,Ашиглалтад орсон
8500000000.00,"УБ — Хан-Уул, Зайсан",,,,,,,,1377 м²,,Лизинггүй,,Ашиглалтад орсон
525000000.00,УБ — Сүхбаатар,Плита,3+ тагттай,2015,Байгаа,Вакум,9,Бүргэд,175.0 м²,9,Банкны лизингтэй,8,Ашиглалтад орсон
4800000.00,"УБ — Баянзүрх, Амгалан",,,,,,,,18 м²,,Лизинггүй,,Ашиглалтад орсон
7600000.00,"УБ — Хан-Уул, Мишээл",,,,,,,,107 м²,,Банкны лизингтэй,,Ашиглалтад ороогүй
6550000.00,"УБ — Хан-Уул, King Tower",,,,,,,,,,Банкны лизингтэй,,Ашиглалтад орсон
215000000.00,"УБ — Баянгол, 10-р хороолол",Паркет,1 тагттай,2002,Байхгүй,Вакум,6,Бүргэд,58.5 м²,4,Лизинггүй,3,Ашиглалтад орсон
455000000.00,"УБ — Хан-Уул, Зайсан",Плита,Тагтгүй,2018,Байхгүй,Төмөр вакум,10,Бүргэд,130.0 м²,5,Банкны лизингтэй,4,Ашиглалтад орсон
