,үнэ,хаяг,Тагт:,Гараж:,Барилгын давхар:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Нас,Цонх:_Бусад,Цонх:_Вакум,Дүүрэг_Баянгол,Дүүрэг_Баянзүрх,Дүүрэг_Налайх,Дүүрэг_Сонгинохайрхан,Дүүрэг_Сүхбаатар,Дүүрэг_Хан-Уул,Дүүрэг_Чингэлтэй,Хаалга:_Бусад,Хаалга:_Бүргэд,Хаалга:_Төмөр,Шал:_Бусад,Шал:_Паркет
520,300.0,Баянзүрх,0,0,16.0,46.55,10.0,0,2.0,1,4.0,False,True,False,True,False,False,False,False,False,True,False,False,False,True
521,159.5,16-р хороолол,1,0,13.0,55.0,5.0,0,4.0,1,0.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
522,255.0,Сүхбаатар,1,0,6.0,45.0,2.0,0,4.0,1,18.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
523,185.0,3,1,0,16.0,66.0,16.0,0,2.0,0,0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,True
524,150.5,Хан-Уул,1,0,12.0,55.0,5.0,1,3.0,1,5.0,False,True,False,False,False,False,False,True,False,False,False,True,False,True
525,519.0,120 мянгат,1,0,23.0,80.0,3.0,0,4.0,1,5.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
526,258.0,Баянзүрх,0,0,16.0,60.0,16.0,0,3.0,1,5.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
527,178.0,Баянзүрх,2,0,5.0,68.0,4.0,1,4.0,1,8.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
528,255.0,Алтай хотхон,1,0,16.0,66.88,11.0,1,4.0,1,0.0,False,True,True,False,False,False,False,False,False,False,False,True,False,True
529,145.0,16-р хороолол,1,0,12.0,45.66,1.0,1,2.0,1,2.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
530,280.0,Офицер,0,0,16.0,93.0,8.0,1,3.0,1,6.0,False,True,False,True,False,False,False,False,False,True,False,False,False,True
531,99.0,16-р хороолол,1,0,16.0,33.0,14.0,1,1.0,1,0.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
532,280.0,13-р хороолол,1,0,9.0,100.0,7.0,1,5.0,1,26.0,False,True,False,True,False,False,False,False,False,True,False,False,False,True
533,135.0,19-р хороолол,1,0,13.0,39.5,11.0,0,2.0,1,13.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
534,500.0,Хан-Уул,1,0,16.0,94.06,5.0,0,2.0,1,4.0,False,True,False,False,False,False,False,True,False,False,False,True,False,True
535,441.4899999999999,Баянзүрх,1,0,18.0,83.3,18.0,0,4.0,1,5.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
536,182.0,Арцатын ам,1,0,14.0,52.37,9.0,0,2.0,1,0.0,False,True,False,False,False,False,False,True,False,False,False,True,False,True
537,435.0,Хан-Уул,1,0,25.0,70.0,18.0,0,4.0,1,2.0,False,True,False,False,False,False,False,True,False,False,False,True,False,True
538,103.0,Алтай хотхон,1,0,10.0,36.0,8.0,0,3.0,1,11.0,False,True,True,False,False,False,False,False,False,False,False,True,False,True
539,135.0,Сүхбаатар,1,1,5.0,49.7,3.0,1,2.0,1,7.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
540,175.578,1-р хороолол,3,0,11.0,67.53,11.0,0,4.0,1,24.0,False,True,False,False,False,True,False,False,False,False,True,False,False,True
541,140.0,Сүхбаатар,1,0,12.0,61.3,7.0,1,4.0,1,12.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
542,399.0525,Баянзүрх,0,0,16.0,103.65,9.0,0,3.0,1,5.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
543,267.0,Сүхбаатар,1,0,15.0,54.63,8.0,0,2.0,1,7.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
544,215.0,Баянзүрх,2,0,5.0,90.0,5.0,0,3.0,1,18.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
545,502.885,Баянзүрх,2,1,15.0,116.95,9.0,0,4.0,1,8.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
546,279.045,Хан-Уул,1,0,16.0,49.36,10.0,0,2.0,1,1.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
547,574.5,Баянзүрх,1,0,16.0,133.62,6.0,0,4.0,1,6.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
548,225.0,Баянзүрх,1,0,10.0,57.0,1.0,0,2.0,1,12.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
549,213.803,Хан-Уул,1,0,15.0,45.49,15.0,0,1.0,1,1.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
550,384.0,Баянзүрх,1,1,16.0,93.48,6.0,0,4.0,1,9.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
551,640.0,Үндэсний цэцэрлэгт хүрээлэн,2,0,16.0,122.0,12.0,0,5.0,1,5.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
552,221.0,Их Монгол хороолол,1,0,10.0,49.0,5.0,1,3.0,1,11.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
553,295.0,Баянзүрх,1,0,3.0,83.96,2.0,0,5.0,1,14.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
554,203.05,Баянзүрх,1,0,15.0,65.5,6.0,0,2.0,1,7.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
555,594.648,Хан-Уул,3,1,12.0,110.12,12.0,0,3.0,1,9.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
556,110.0,10-р хороолол,1,0,10.0,32.5,4.0,0,1.0,0,0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,True
557,250.0,Баянзүрх,1,0,10.0,91.3,6.0,0,3.0,1,12.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
558,321.7,Сүхбаатар,1,1,12.0,64.34,8.0,0,2.0,1,5.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
559,525.0,Баянзүрх,1,0,16.0,113.5,2.0,0,5.0,1,2.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
560,545.0,Хан-Уул,1,1,7.0,92.74,3.0,0,3.0,1,5.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
561,293.0,Сүхбаатар,1,0,12.0,72.11,6.0,0,2.0,1,8.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
562,160.0,Баянзүрх,1,0,16.0,57.0,14.0,0,2.0,1,0.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
563,645.975,Нархан хотхон,0,0,16.0,117.45,2.0,0,5.0,1,0.0,False,True,False,False,False,False,False,True,False,False,False,True,False,True
564,128.0,100 айл,1,0,12.0,44.69,9.0,0,2.0,1,8.0,False,True,False,False,False,False,True,False,False,False,True,False,False,True
565,240.0,Баянзүрх,1,0,12.0,62.04,9.0,0,3.0,1,7.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
566,150.0,Эрдэнэ толгой,1,0,16.0,50.6,7.0,0,3.0,1,4.0,False,True,False,True,False,False,False,False,False,False,False,True,False,True
567,126.88,Яармаг,1,0,16.0,48.8,1.0,0,2.0,0,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
568,250.0,Зайсан,1,0,6.0,83.0,3.0,0,5.0,1,7.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
569,216.825,Яармаг,1,0,16.0,61.95,12.0,0,3.0,0,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
570,148.11,Яармаг,1,0,16.0,49.37,4.0,1,2.0,0,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
571,214.662,Яармаг,1,0,16.0,56.49,9.0,1,3.0,0,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
572,189.05,Яармаг,1,0,16.0,49.75,12.0,1,2.0,0,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
573,121.9,Яармаг,1,0,16.0,53.0,8.0,0,3.0,0,0.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True
574,250.0,10-р хороолол,1,0,6.0,77.07,5.0,1,5.0,1,14.0,False,True,True,False,False,False,False,False,False,False,True,False,False,True
575,123.0,Цайз 16,1,0,12.0,41.0,10.0,0,2.0,1,0.0,False,True,False,True,False,False,False,False,False,False,True,False,False,True
576,230.0,50 мянгат,1,0,4.0,52.0,3.0,0,3.0,1,44.0,False,True,False,False,False,False,False,False,True,False,True,False,False,True
