үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Байршил:
133800000.00,"УБ — Баянзүрх, 14-р хороолол",Паркет,1 тагттай,2015,Байхгүй,Вакум,13,Вакум,44.01 м²,12,Лизинггүй,2,Ашиглалтад орсон,
130000000.00,"УБ — Баянзүрх, 16-р хороолол",Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Төмөр,50.0 м²,3,Лизинггүй,2,Ашиглалтад орсон,
165000000.00,УБ — Сүхбаатар,Паркет,1 тагттай,1997,Байхгүй,Вакум,5,Вакум,75.0 м²,3,Лизинггүй,4,Ашиглалтад орсон,
421000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2021,Байхгүй,Вакум,6,Бүргэд,98.0 м²,1,Банкны лизингтэй,4,Ашиглалтад орсон,
235000000.00,"УБ — Хан-Уул, 120 мянгат",Паркет,1 тагттай,2019,Байгаа,Вакум,16,Бүргэд,71.0 м²,7,Лизинггүй,4,Ашиглалтад орсон,
165000000.00,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1 тагттай,2023,Байхгүй,Вакум,16,Бүргэд,55.0 м²,1,Лизинггүй,3,Ашиглалтад орсон,
1120000000.00,"УБ — Хан-Уул, Зайсан",Ламинат,1 тагттай,2014,Байгаа,Вакум,6,Төмөр,188.63 м²,6,Банкны лизингтэй,5,Ашиглалтад орсон,
143000000.00,"УБ — Баянзүрх, 14-р хороолол",Паркет,1 тагттай,2024,Байхгүй,Вакум,7,Бүргэд,44.58 м²,2,Лизинггүй,2,Ашиглалтад орсон,
349000000.00,"УБ — Хан-Уул, Нархан хотхон",Паркет,1 тагттай,2011,Байхгүй,Вакум,6,Бүргэд,113.0 м²,6,Банкны лизингтэй,4,Ашиглалтад орсон,
268953000.00,"УБ — Хан-Уул, Зайсан",Паркет,2 тагттай,2024,Байхгүй,Вакум,12,Төмөр,72.69 м²,9,Лизинггүй,3,Ашиглалтад орсон,
97500000.00,"УБ — Баянзүрх, Амгалан",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,37.0 м²,14,Хувь лизингтэй,2,Ашиглалтад ороогүй,
2500000.00,"УБ — Баянзүрх, Баянзүрх, Хороо 25",Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,53.01 м²,2,Хувь лизингтэй,2,Ашиглалтад орсон,
230000000.00,"УБ — Хан-Уул, Зайсан",Паркет,1 тагттай,2024,Байхгүй,Вакум,10,Төмөр,67.4 м²,7,Лизинггүй,3,Ашиглалтад орсон,
3200000.00,УБ — Сүхбаатар,Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,41.0 м²,3,Лизинггүй,2,Ашиглалтад орсон,
