үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
120.0,"УБ — Баянгол, 3, 4 хороолол",Паркет,1,2005,0,Төмөр вакум,9,Төмөр вакум,38.01,6,0,2,1
380.0,"УБ — Баянзүрх, 13-р хороолол",Паркет,0,2012,1,Вакум,13,Төмөр,120.5,11,1,4,1
228.02499999999998,"УБ — Баянзүрх, Баянзүрх, Хороо 4",Паркет,2,2016,0,Вакум,12,Бүргэд,91.21,9,1,5,1
470.40000000000003,"УБ — Хан-Уул, Мишээл",Цемент,1,2024,0,Вакум,10,Төмөр,112.0,16,0,6,1
370.8,"УБ — Хан-Уул, Хурд",Паркет,1,2008,1,Вакум,9,Мод,103.0,8,1,4,1
800.0,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,2,2024,1,Вакум,23,Төмөр,134.35,20,1,5,1
535.5,"УБ — Хан-Уул, Хан-Уул, Хороо 2",Паркет,1,2024,1,Вакум,18,Бүргэд,119.0,9,1,6,1
170.0,"УБ — Баянзүрх, Амгалан",Паркет,1,2018,0,Вакум,9,Бүргэд,72.14,8,0,3,1
255.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 6",Паркет,1,2006,0,Вакум,6,Бүргэд,45.0,2,0,4,1
75.0,"УБ — Сонгинохайрхан, 5 шар",Паркет,0,1990,0,Вакум,5,Бүргэд,27.4,1,0,2,1
160.0,"УБ — Баянгол, 25-р эмийн сан",Паркет,1,2010,0,Вакум,5,Бүргэд,61.0,5,0,6,1
162.0,"УБ — Баянгол, 6-р бичил",Паркет,2,1996,0,Вакум,9,Бүргэд,74.0,1,1,4,1
140.0,"УБ — Баянзүрх, Амгалан",Паркет,1,2000,0,Вакум,5,Бүргэд,72.0,3,0,4,1
210.0,"УБ — Баянгол, Богд-Ар",Паркет,1,2009,0,Вакум,16,Мод,67.0,12,0,3,1
135.0,"УБ — Сонгинохайрхан, 1-р хороолол",Паркет,1,1987,0,Вакум,9,Бүргэд,30.0,4,0,3,1
294.0,"УБ — Хан-Уул, Зайсан",Паркет,3,2008,1,Вакум,6,Бүргэд,98.0,5,0,8,1
94.0,"УБ — Баянзүрх, Цайз 16",Паркет,1,2017,0,Вакум,15,Бүргэд,37.19,7,0,3,1
170.0,"УБ — Баянзүрх, Olympic village",Паркет,1,2013,0,Вакум,12,Төмөр,44.0,9,0,2,1
110.0,"УБ — Хан-Уул, Хан-Уул, Хороо 22",Паркет,1,2015,0,Вакум,10,Төмөр,29.0,6,0,1,1
135.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2018,0,Вакум,6,Төмөр,38.0,1,0,3,1
79.0,"УБ — Сүхбаатар, 100 айл",Паркет,1,2023,0,Вакум,12,Бүргэд,21.1,8,0,1,1
505.6,"УБ — Баянгол, Нарны хороолол",Паркет,2,2010,1,Вакум,15,Төмөр,158.0,15,0,6,1
93.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2012,0,Вакум,4,Бүргэд,38.0,3,0,1,1
98.0,"УБ — Баянгол, Баруун 4 зам",Паркет,1,2012,0,Вакум,12,Бүргэд,30.0,5,0,1,1
80.0,"УБ — Хан-Уул, Хан-Уул, Хороо 16",Паркет,1,2014,0,Вакум,9,Бүргэд,32.0,7,0,2,1
174.4,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,2,2016,1,Вакум,12,Бүргэд,54.5,5,0,2,1
113.0,"УБ — Хан-Уул, 120 мянгат",Мод,1,1989,0,Мод,5,Бүргэд,35.0,3,0,2,1
480.0,"УБ — Чингэлтэй, 40 мянгат",Паркет,3,2007,0,Вакум,12,Бүргэд,104.0,10,1,4,1
444.64,"УБ — Баянзүрх, Баянзүрх, Хороо 8",Паркет,1,2015,0,Вакум,15,Бүргэд,158.0,15,0,5,1
226.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 10",Паркет,2,1985,0,Вакум,5,Бүргэд,80.0,3,0,4,1
416.5,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2019,0,Вакум,18,Бүргэд,83.3,18,0,4,1
80.0,"УБ — Сонгинохайрхан, 5 шар",Паркет,1,2015,0,Вакум,15,Бүргэд,40.0,6,0,3,1
701.12,"УБ — Баянзүрх, 13-р хороолол",Паркет,1,2008,1,Вакум,9,Бүргэд,175.28,6,0,5,1
647.925,"УБ — Хан-Уул, Мишээл",Паркет,1,2024,1,Вакум,16,Мод,122.25,9,0,6,1
335.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2012,0,Вакум,6,Бүргэд,134.0,1,0,5,1
800.0,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1,2024,0,Вакум,23,Бүргэд,135.0,20,0,6,1
188.21,"УБ — Хан-Уул, Хан-Уул, Хороо 24",Паркет,1,2015,0,Модон вакум,16,Бүргэд,64.9,11,1,3,1
190.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2012,0,Вакум,9,Төмөр вакум,58.66,4,1,2,1
145.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2022,0,Вакум,9,Бүргэд,46.48,4,0,2,1
450.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2024,0,Вакум,7,Бүргэд,100.0,2,0,4,1
150.0,"УБ — Чингэлтэй, Баянбүрд",Паркет,1,2023,0,Вакум,16,Бүргэд,45.42,10,0,2,1
217.14999999999998,"УБ — Хан-Уул, Хан-Уул, Хороо 4",Паркет,1,2022,0,Вакум,12,Бүргэд,50.5,6,0,3,1
521.0,"УБ — Хан-Уул, 120 мянгат",Паркет,3,2012,1,Вакум,4,Бүргэд,208.4,2,1,7,1
815.0,"УБ — Сүхбаатар, Сүхбаатарын талбай",Паркет,2,2008,1,Вакум,6,Бүргэд,160.0,5,1,6,1
345.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2024,0,Вакум,14,Бүргэд,73.5,8,1,4,1
96.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 11",Паркет,1,2019,0,Вакум,14,Бүргэд,36.5,14,1,2,1
263.25,"УБ — Баянгол, 3, 4 хороолол",Паркет,1,2009,0,Вакум,9,Бүргэд,81.0,5,0,4,1
820.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 1",Паркет,1,2024,0,Вакум,23,Бүргэд,134.0,20,0,7,1
250.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2022,0,Вакум,12,Бүргэд,45.1,7,0,3,1
250.0,"УБ — Баянзүрх, 13-р хороолол",Паркет,2,2011,1,Вакум,10,Бүргэд,91.3,6,0,5,1
125.0,"УБ — Баянгол, Баянгол, Хороо 2",Паркет,1,2005,0,Вакум,6,Бүргэд,40.3,6,0,2,1
179.28,"УБ — Хан-Уул, Хан-Уул, Хороо 20",Паркет,0,2015,0,Вакум,10,Бүргэд,59.76,5,0,3,1
559.9725,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,2,2010,0,Мод,3,Бүргэд,189.5,4,1,6,1
350.0,"УБ — Сүхбаатар, Бага тойрог",Паркет,2,1998,0,Вакум,7,Төмөр,90.0,2,0,4,1
665.0,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,2,2010,0,Вакум,16,Бүргэд,180.0,2,1,8,1
150.0,"УБ — Баянгол, 10-р хороолол",Паркет,1,1980,0,Вакум,5,Бүргэд,50.0,3,0,3,1
260.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2023,0,Вакум,9,Төмөр,80.0,2,1,4,1
595.0,"УБ — Хан-Уул, King Tower",Паркет,1,2021,0,Вакум,16,Төмөр,137.0,5,1,3,1
682.462,"УБ — Баянгол, Баруун 4 зам",Паркет,1,2024,0,Вакум,18,Бүргэд,101.86,12,1,4,1
456.0,"УБ — Баянзүрх, Чингис зочид буудал",Паркет,1,2024,0,Вакум,25,Төмөр,79.0,22,0,4,1
120.0,"УБ — Хан-Уул, Viva city",Паркет,0,2012,0,Төмөр вакум,5,Бүргэд,41.6,3,1,3,1
677.0,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2024,0,Вакум,15,Бүргэд,127.0,6,1,6,1
256.0,"УБ — Хан-Уул, 19-р хороолол",Паркет,1,2023,0,Вакум,16,Бүргэд,64.0,8,0,2,1
137.0,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,1,2019,0,Вакум,14,Бүргэд,45.6,11,0,2,1
271.92,"УБ — Хан-Уул, Яармаг",Паркет,3,2021,0,Вакум,12,Төмөр вакум,123.6,5,1,6,1
143.0,"УБ — Баянзүрх, 16-р хороолол",Паркет,0,2024,0,Вакум,16,Бүргэд,49.0,2,0,2,1
106.0,"УБ — Баянзүрх, Баянзүрх, Хороо 14",Паркет,1,2014,0,Вакум,14,Бүргэд,40.0,13,1,1,1
625.0,"УБ — Хан-Уул, Хүннү",Паркет,2,2024,0,Вакум,23,Бүргэд,96.0,8,1,5,1
143.0,"УБ — Баянзүрх, Амгалан",Паркет,1,2021,0,Вакум,12,Төмөр,52.38,8,0,2,1
571.1999999999999,УБ — Сүхбаатар,Ламинат,3,2001,0,Вакум,7,Вакум,204.0,7,1,8,1
370.0,"УБ — Хан-Уул, Хан-Уул, Хороо 1",Паркет,1,2007,1,Вакум,12,Бүргэд,90.0,9,0,3,1
815.0,"УБ — Сүхбаатар, Сүхбаатарын талбай",Паркет,2,2008,0,Вакум,6,Төмөр,160.0,6,1,8,1
128.0,"УБ — Сонгинохайрхан, Москва хороолол",Паркет,1,2008,0,Вакум,9,Төмөр,41.57,5,0,3,1
